"","name_species","El_Hierro","La_Palma","La_Gomera","Tenerife","Gran_Canaria","Fuerteventura","Lanzarote"
"470","Lotus callis-viridis",NA,NA,NA,NA,1,NA,NA
"471","Lotus emeroides",NA,NA,1,NA,NA,NA,NA
"472","Lotus eremiticus",NA,1,NA,NA,NA,NA,NA
"475","Lotus holosericeus",NA,NA,NA,NA,1,NA,NA
"479","Lotus mascaensis",NA,NA,NA,1,NA,NA,NA
"482","Luzula canariensis",NA,NA,1,1,NA,NA,NA
"483","Luzula forsteri",NA,NA,1,1,1,NA,NA
"485","Matthiola parviflora",1,1,1,1,1,1,1
"486","Melica minuta",NA,NA,1,1,1,NA,1
"487","Mercurialis canariensis",1,1,NA,1,NA,NA,1
"488","Mesembryanthemum crystallinum",1,1,1,1,1,1,1
"489","Mesembryanthemum nodiflorum",1,1,1,1,1,1,1
"490","Mesembryanthemum theurkauffii",NA,NA,NA,NA,NA,1,NA
"491","Micromeria hyssopifolia",1,NA,NA,1,NA,NA,NA
"492","Micromeria lepida",NA,NA,1,NA,NA,NA,NA
"493","Micromeria leucantha",NA,NA,NA,NA,1,NA,NA
"494","Micromeria teneriffae",NA,NA,NA,1,NA,NA,NA
"495","Micromeria tenuis",NA,NA,NA,NA,1,NA,NA
"496","Micromeria varia",1,NA,1,1,1,1,1
"497","Minuartia geniculata",NA,NA,NA,NA,1,1,1
"499","Misopates orontium",1,1,1,1,1,1,1
"500","Misopates salvagense",1,NA,NA,NA,NA,1,1
"501","Moehringia pentandra",1,1,1,1,1,NA,1
"502","Monanthes icterica",NA,NA,1,1,NA,NA,NA
"503","Monanthes laxiflora",NA,1,1,1,1,1,1
"504","Monanthes muralis",1,1,1,NA,NA,NA,NA
"505","Monanthes pallens",NA,NA,1,1,NA,NA,NA
"506","Muscari comosum",1,1,1,1,1,1,1
"507","Narcissus tazetta",NA,NA,NA,1,1,NA,NA
"508","Neatostema apulum",NA,NA,NA,1,1,1,1
"509","Notoceras bicorne",1,1,1,1,1,1,1
"510","Ochlopoa annua",1,1,1,1,1,1,1
"511","Oligomeris linifolia",NA,NA,NA,1,1,1,1
"512","Ononis angustissima",NA,NA,NA,1,1,1,1
"513","Ononis catalinae",NA,NA,NA,NA,NA,1,1
"514","Ononis diffusa",1,1,1,1,1,1,1
"515","Ononis hebecarpa",NA,NA,NA,NA,NA,1,1
"517","Ononis laxiflora",NA,1,NA,NA,1,1,1
"518","Ononis pendula",NA,NA,NA,NA,1,1,1
"519","Ononis reclinata",1,1,1,1,1,1,1
"520","Ononis sicula",NA,NA,NA,NA,NA,1,1
"522","Origanum vulgare",1,1,1,1,1,NA,NA
"523","Ornithopus compressus",1,1,1,1,1,NA,NA
"524","Orobanche amethystea",NA,NA,NA,1,NA,NA,1
"525","Orobanche calendulae",NA,NA,NA,NA,NA,NA,1
"526","Orobanche cernua",1,NA,NA,NA,1,1,1
"527","Orobanche minor",1,1,NA,NA,1,1,1
"528","Oropetium capense",NA,NA,NA,NA,1,NA,NA
"530","Oxalis corniculata",1,1,1,1,1,1,1
"531","Parietaria debilis",1,1,1,1,1,1,1
"532","Parietaria filamentosa",NA,1,1,1,NA,NA,NA
"533","Parietaria judaica",1,1,1,1,1,1,1
"534","Parietaria mauritanica",1,NA,NA,1,NA,NA,1
"535","Parolinia filifolia",NA,NA,NA,NA,1,NA,NA
"536","Parolinia glabriuscula",NA,NA,NA,NA,1,NA,NA
"537","Parolinia intermedia",NA,NA,NA,1,NA,NA,NA
"538","Parolinia ornata",NA,NA,NA,NA,1,NA,NA
