name_species,family,habitat<500m,status,littoral,El_Hierro,La_Palma,La_Gomera,Tenerife,Gran_Canaria,Fuerteventura,Lanzarote,#islands,sindrome,thalassochory
Limonium_ovalifolium,Plumbaginaceae,1,NS,presence,0,0,0,0,0,1,1,2,multic,0.5
Limonium_papillatum,Plumbaginaceae,1,NS,presence,0,0,0,0,0,1,1,2,multic,0.5
Beta_macrocarpa,Chenopodiaceae,1,NP,,0,1,0,1,1,1,1,5,THA,1
Beta_maritima,Chenopodiaceae,1,NP,,1,1,1,1,1,1,1,7,THA,1
Limonium_pectinatum,Plumbaginaceae,1,NS,presence,1,1,1,1,1,0,0,5,multic,0.5
Calystegia_soldanella,Convolvulaceae,1,NP,,0,0,0,0,0,0,1,1,THA,1
Limonium_puberulum,Plumbaginaceae,1,End,presence,0,0,0,0,0,1,1,2,multic,0.5
Limonium_relicticum,Plumbaginaceae,1,End,presence,0,0,1,0,0,0,0,1,multic,0.5
Limonium_tuberculatum,Plumbaginaceae,1,NS,presence,0,0,0,0,1,1,0,2,multic,0.5
Reichardia_crystallina,Asteraceae,1,End,presence,0,0,0,1,1,0,0,2,multic,0.5
Reichardia_ligulata,Asteraceae,1,End,presence,1,1,1,1,1,1,0,6,multic,0.5
Gymnocarpos_decandrus,Caryophyllaceae,1,NS,,0,0,1,1,1,1,1,5,THA,1
Herniaria_canariensis,Caryophyllaceae,1,End,,0,0,0,1,0,0,0,1,THA,1
Reichardia_tingitana,Asteraceae,1,NP,presence,0,1,1,1,1,1,1,6,multic,0.5
Arthrocnemum_macrostachyum,Chenopodiaceae,1,NS,presence,0,0,0,1,1,1,1,4,THA,1
Juncus_acutus,Juncaceae,1,NP,,0,1,1,1,1,1,1,6,THA,1
Maytenus_canariensis,Celastraceae,1,End,,1,1,1,1,1,1,0,6,THA,1
Pancratium_canariense,Amaryllidaceae,1,End,,1,1,1,1,1,1,1,7,THA,1
Atriplex_glauca,Chenopodiaceae,1,NP,presence,1,0,1,1,1,1,1,6,THA,1
Patellifolia_patellaris,Chenopodiaceae,1,NS,,1,1,1,1,1,1,1,7,THA,1
Atriplex_halimus,Chenopodiaceae,1,NP,presence,0,0,0,1,1,1,1,4,THA,1
Cakile_maritima,Brassicaceae,1,NP,presence,0,0,0,1,1,1,1,4,THA,1
Chenoleoides_tomentosa,Chenopodiaceae,1,NS,presence,1,1,0,1,1,1,1,6,THA,1
Crithmum_maritimum,Apiaceae,1,NS,presence,1,1,1,1,1,1,0,6,THA,1
Frankenia_boissieri,Frankeniaceae,1,NS,presence,0,0,0,0,1,1,1,3,THA,1
Frankenia_capitata,Frankeniaceae,1,NS,presence,1,1,1,1,1,1,1,7,THA,1
Frankenia_ericifolia,Frankeniaceae,1,NS,presence,1,1,1,1,1,1,1,7,THA,1
Herniaria_fontanesii,Caryophyllaceae,1,NP,presence,0,0,0,1,1,1,0,3,THA,1
Herniaria_hartungii,Caryophyllaceae,1,End,presence,0,0,0,0,0,1,0,1,THA,1
Pancratium_maritimum,Amaryllidaceae,1,NP,presence,0,0,0,0,0,1,1,2,THA,1
Patellifolia_procumbens,Chenopodiaceae,1,NS,presence,1,1,1,1,1,1,1,7,THA,1
Patellifolia_webbiana,Chenopodiaceae,1,End,presence,1,0,1,1,1,1,1,6,THA,1
Aaronsohnia_pubescens,Asteraceae,1,NP,,0,0,0,0,0,1,1,2,UNS,
Adenocarpus_foliolosus,Fabaceae,1,End,,1,1,1,1,1,0,0,5,UNS,
Aeonium_appendiculatum,Crassulaceae,1,End,,0,0,1,0,0,0,0,1,UNS,
Aeonium_arboreum,Crassulaceae,1,End,,1,1,1,1,1,0,0,5,UNS,
Aeonium_balsamiferum,Crassulaceae,1,End,,0,0,0,0,0,1,1,2,UNS,
Aeonium_canariense,Crassulaceae,1,End,,1,1,1,1,1,0,0,5,UNS,
Aeonium_castello-paivae,Crassulaceae,1,End,,0,0,1,0,0,0,0,1,UNS,
Aeonium_ciliatum,Crassulaceae,1,End,,0,0,0,1,0,0,0,1,UNS,
Aeonium_davidbramwellii,Crassulaceae,1,End,,0,1,0,0,0,0,0,1,UNS,
Aeonium_decorum,Crassulaceae,1,End,,0,0,1,1,0,0,0,2,UNS,
Aeonium_goochiae,Crassulaceae,1,End,,0,1,0,0,0,0,0,1,UNS,
