Family,Genus ,Species,habitats<500m,Sub-Origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,#Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Asteraceae,Delilia,repens,1,En,1,5,,1,,,1,,1,,,1,,1,,,0.5,0,0.5,0,0,,
Mimosaceae,Desmanthus,virgatus,1,Id,1,7,1,,1,,1,,1,1,1,1,,,1,Pod,1,0,0,0,0,,
Fabaceae,Desmodium,procumbens,1,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,4,Pod,0,0,1,0,0,,
Convolvulaceae,Dichondra,microcalyx,1,Id,1,7,,1,1,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Acanthaceae,Dicliptera,peruviana,1,Id,1,3,,1,,,1,,,,,,,1,1,Capsule,1,0,0,0,0,,
,Digitaria,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubiaceae,Diodia,radula,1,Id,1,6,,1,1,,1,,,,1,1,,1,,,0,0,0,1,0,,
Poaceae,Distichlis,spicata,,Id,1,1,,,,,1,,,,,,,,1,Caryopside,1,0,0,0,0,,
Sapindaceae,Dodonaea,viscosa,1,En,1,3,,,,,1,,1,,1,,,,2,Capsule,0,0,0,0.5,0.5,Two syndromes,
Caryophyllaceae,Drymaria,monticola,,En,1,2,,,,,,,,,,1,,1,3,Capsule,1,0,0,0,0,,
Caryophyllaceae,Drymaria,rotundifolia,,Id,1,2,,1,,,1,,,,,,,,3,Capsule,1,0,0,0,0,,
Caryophyllaceae,Drymaria,cordata,1,Id,1,5,,,1,,1,,,,1,1,,1,3,Capsule,1,0,0,0,0,,
Verbenaceae,Duranta,erecta,1,Id,1,3,,,,,1,,,,1,1,,,3,Drupe-like,0,1,0,0,0,,
Verbenaceae,Duranta,dombeyana,1,Id,1,4,,1,1,,1,,,,1,,,,3,Drupe-like,0,1,0,0,0,,
Verbenaceae,Duranta,mutisii,,Id,1,1,,,,,,,,1,,,,,3,Drupe-like,0,1,0,0,0,,
Asteraceae,Eclipta,prostrata,1,Id,1,5,,,1,,1,,,,1,1,,1,1,Achene,0,0,1,0,0,,
Cucurbitaceae,Elaterium,carthagenense,,Id,1,3,,,,,1,,1,,,,,1,1,Capsule,1,0,0,0,0,,
Cyperaceae,Eleocharis,maculosa,1,Id,1,4,,,,,1,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Cyperaceae,Eleocharis,mutata,1,Id,1,4,,,,,1,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Cyperaceae,Eleocharis,atropurpurea,,Id,1,3,,,,,1,,,,1,1,,,6,Achene,1,0,0,0,0,,presence
Cyperaceae,Eleocharis,acutangula,,Id,1,4,,,1,,,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Cyperaceae,Eleocharis,montana,,Id,1,5,,,1,,1,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Cyperaceae,Eleocharis,sellowiana,1,Id,1,5,,,1,,1,,,,1,1,,1,6,Achene,1,0,0,0,0,,
Asteraceae,Encelia,hispida,1,En,1,5,,,1,,1,,,,1,,1,1,1,Achene,0,0,1,0,0,,
Asteraceae,Enydra,sessilifolia,1,Id,1,2,,,,,,,,,1,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Enydra,maritima,,Id,1,3,,,,,,,,,1,1,,1,1,Achene,1,0,0,0,0,,
Orchidaceae,Epidendrum,spicatum,1,En,1,6,,,1,,1,,1,,1,1,,1,1,Capsule,0,0,0,0,1,,
Poaceae,Eragrostis,pastoensis,,Id,1,3,,1,,,,1,1,,,,,,4,Caryopside,0,0,0,0,0,,
Poaceae,Eragrostis,mexicana,,Id,1,5,,1,,,1,1,1,,,1,,,4,Caryopside,0,0,0,0,0,,
Poaceae,Eragrostis,ciliaris,1,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,4,Caryopside,1,0,0,0,0,,
Poaceae,Eriochloa,pacifica,1,Id,1,2,,,,,,,,,1,1,,,1,Caryopside,0,0,1,0,0,,
Fabaceae,Erythrina,velutina,1,Id,1,4,,,,1,1,,,,,1,,1,1,Pod,0,0,0,1,0,,
Orchidaceae,Erythrodes,weberiana,,Id,1,1,,,,,,,1,,,,,,1,Capsule,0,0,0,0,1,,
Asteraceae,Eupatorium,pycnocephalum,,In,1,1,,,,,,,,,,1,,,1,Achene,0,0,0,0,1,,
Asteraceae,Eupatorium,solidagioides,,Id,1,1,,,,,1,,,,,,,,1,Achene,0,0,0,0,1,,
Euphorbiaceae,Euphorbia,parviflora,,NoData,1,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Convolvulaceae,Evolvulus,convolvuloides,1,Id,1,9,1,,1,,1,,1,1,1,1,1,1,2,Capsule,1,0,0,0,0,,
Convolvulaceae,Evolvulus,simplex,1,Id,1,9,1,,1,1,1,,,1,1,1,1,1,2,Capsule,1,0,0,0,0,,
Solanaceae,Exodeconus,miersii,1,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,,,0,0.5,0,0.5,0,Two syndromes,
Cyperaceae,Fimbristylis,dichotoma,1,Id,1,8,1,,1,,1,1,,,1,1,1,1,,,1,0,0,0,0,,
Amaranthaceae,Froelichia,juncea,1,En,1,3,,,,,1,,,,,1,,1,1,Utricle,0,0,0,0,1,,
Amaranthaceae,Froelichia,nudicaulis,1,En,1,7,,1,1,,1,,,1,1,1,,1,1,Utricle,0,0,0,0,1,,
Malvaceae,Fuertesimalva,insularis,1,En,1,3,,1,,,1,,,,,1,,,,,1,0,0,0,0,,
Fabaceae,Galactia,striata,1,Id,1,10,1,1,1,,1,,1,1,1,1,1,1,2,Pod,1,0,0,0,0,,
Asteraceae,Galinsoga,gnidiifolia,1,Id,1,4,,1,1,,1,,,,,,,1,,,0,0,1,0,0,,
Rubiaceae,Galium,galapagoense,,En,1,5,,,1,,1,,,,1,1,,1,2,Schizocarp ,0,0,1,0,0,,
Scrophulariaceae,Galvezia,leucantha,1,En,1,3,,1,,,1,,,,,,,1,1,Capsule,1,0,0,0,0,,
,Geofrea,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,
,Gnaphalium,,,,,,,,,,,,,,,,,,,,,,,,1,,
Malvaceae,Gossypium,klotzschianum,1,En,1,4,,,,,1,1,,,1,1,,,2,Capsule,0,0,0,0.5,0.5,Two syndromes,
Malvaceae,Gossypium,darwinii,1,En,1,10,1,1,1,,1,1,1,1,1,1,,1,2,Capsule,0,0,0,0.5,0.5,Two syndromes,
Orchidaceae,Govenia,utriculata,,Id,1,2,,,,,,,1,,,1,,,1,Capsule,0,0,0,0,1,,
Solanaceae,Grabowskia,boerhaaviaefolia,1,Id,1,8,1,,1,,,,1,1,1,1,1,1,1,nutlet,0,1,0,0,0,,presence
Orchidaceae,Habenaria,distans,,Id,1,2,,,,,1,,,,,1,,,3,Capsule,0,0,0,0,1,,
Orchidaceae,Habenaria,alata,,Id,1,3,,1,,,1,,,,,,,1,3,Capsule,0,0,0,0,1,,
Orchidaceae,Habenaria,monorrhiza,,Id,1,4,,,,,1,,,,1,1,,1,3,Capsule,0,0,0,0,1,,
Boraginaceae,Heliotropium,indicum,1,Id,1,3,,,1,,,,,,1,1,,,4,Nutlet,1,0,0,0.5,0,,
Boraginaceae,Heliotropium,anderssonii,1,En,1,1,,,,,,,,,,1,,,4,Nutlet,0,0,1,0,0,,
Boraginaceae,Heliotropium,curassavicum,1,Id,1,10,1,,1,1,1,1,1,1,1,1,,1,4,Nutlet,1,0,0,0,0,,exclusive
Boraginaceae,Heliotropium,angiospermum,1,Id,1,11,1,1,1,1,1,,1,1,1,1,1,1,4,Nutlet,1,0,0,0,0,,
